,combined_text_column,Failure Mechanism_JS,Failure_Mechanism_JS_MAP,Failure_Mechanism_JS_MAP_categorical,Exact_Match_Result_label,Exact_Match_Result_categorical,Unit_Based_FM_Result_label,Unit_Based_FM_categorical,Winner_algorithm_1,Winner_algorithm_2,Winner_algorithm_3,ECOC_MAX_predicted_FM_prevelance_labels_after_multiple_ncols_15,ECOC_MAX_predicted_FM_prev_norm_scrs_ncols_15,Gold_Standard_FM_replaced
49,"Suspend drilling operations due to issues with Hex pumps 1, 2 and 3 requiring repair to fluid ends. Hex pump #1 - Leaking liner gasket that is currently being repaired. Failed Module on Hex pump #1 Bay #2 Hex pump #2 - Washed module in #2 Bay. We have one more module in the warehouse to replace this with. We also have had to steal 2 sub rods for the pistons out of this pump to replace one each in pump #1 and #3. We are out of sub rods so this pump will definitely be down until 2 sub rods are received. There are 2 sub rods in the weekly shipment at the dock. Hex pump # 3 is down due to the washed module that was replaced yesterday. New module is installed and going back together with the S pipe. Hope to have it up within the hour. Hex Pump #4 Bay 2 has a valve and seat outside of Suction seat is busted and washed. Unknown at this time, NOV and TFS is still investigating. Unknown at this time. Pick up off bottom and circulate with pumps 4 and 5 until other pumps available. We have submitted a large rig down order of spare parts, CVX has committed to running a special boat for us. TCO ticket 994750 has been opened with NOV and e hawk has been trending the pumps to see is there is a synchronization issue.",2.3 - Material - Wear,Material_Failure,2.0,Mechanical_Failure,1,Mechanical_Failure,1,Mechanical_failure,Mechanical_failure,Mechanical_failure,multiples,Mechanical_failure,Material_failure
88,"Mudpump #1 - Pulsation dampener pressure high pumpman reported pressure on pulsation dampener is high i.e, 3400 psi instead of 1500 psi preset. troubleshoot / investigate. Normal expected wear and tear from operating equipment as designed  Job carried out with RMS# 2230014175563----------, Pumpman Reported Mud pump #1 pulsation dampener pressure shows 3400 psi. Ensured discharge is bleed off and checked the pressure from the filling valve and shows the same 3400 psi.",Material,Material_Failure,2.0,Material_Failure,2,Mechanical_Failure,1,Material_failure,Material_failure,Material_failure,Hydraulic_failure,Hydraulic_failure,Material_failure
54,"Mud pump #2 discharge module cap seal is leaking and only one mud pump was available due to pumps 3 and 4 were being worked on. Note that the mud pump uses P-Quip valve cover retention system. The mud pump pumping rate was increased from 1000gpm to 1200gpm, and the pressure increased to 4950psi during the pump rate testing. Not long after the pump rate increased, the module cap seals started to fail. The 1200 ft-lb torque used for making up the P-Quip valve cover initially was not sufficient to hold the pressure increase. Note that during drilling the pump pressure was 3600 psi. Increased the bolt torque value to 1400 ft-lbs. Note that P-Quip gives a working range from 600-1900 ft-lbs depending on the pump pressure. Replaced the cap seal, re-torqued the P-Quip valve cover retention system bolts to 1400 ft-lbs when installing the valve cover back and re-torqued the remaining valve covers on mud pump #2.",1.1 - Mechanical - Leakage,Mechanical_Failure,1.0,Mechanical_Failure,1,Mechanical_Failure,1,Mechanical_failure,Mechanical_failure,Material_failure,multiples,Mechanical_failure,Mechanical_failure
59,"Install new bleed off valve mud pump room 1) Scope of works: Supply of Demco Gate Valve ND 3"" 7500PSI, Flanged with Flange 2 1/16"" 10K, BX-152, 4130, including: - Supply of all material needed to carry out the job; - Welding of Flanges at Valve, with 100% X-Ray, Stress Relief; - MPI Inspection in 100%; - HP Testing 1,5 WP; - Blasting & Painting; - Delivery at Transocean yard Macaé; 2) APPLICABLE STANDARDS: - ASME IX B31.3 Process Piping; 3) TESTING AND COMISSIONING: - Final visual inspections of all new works will be carried Failure caused by wear and tear resulting from normal operation of the equipment unit  Parts Requested from ICS:----------, ** Non Issued Parts Auto Cancelled QTY REQUESTED: 4 QTY ISSUED: 0 DESC: VALVE 3 IN 7500 PSI FLANGED 21/16 IN----------, Parts Requested from ICS:----------, Equipment is out of Service This valve washed out during drilling 17 1/2 hole March 14th 2016. No spare available so had to blank it. The flange has been welded up to allow blank install.---------- , AUTOMATED PRIORITY ADJUSTMENT Job priority changed from High(2) to 1 due to revised job priority methodology.----------, Pedro rejected the order for two valves. Due to the quote was only for one valve. So staying with the attached quote. I resummited for only one valve. Req # 0095018327----------, This job is being closed and a new job with new quote will be opened for the installlation of the valve and flanges once it has been updated. Lawrence Gates Mardonildo / Diogo The flanges and the valve required to complete the repairs to # 3 bleed line are onboard and in the mud pump room storage locker. We would require a coded welder out for the installation of the Flanges in order to complete this task I suggest we pencil this in for the same time we carry out the repairs to The TDS power swivel . Attached quote from the original RMS Job created for the repairs please advise if the original quote is good and you approve to carry out the repairs.----------, Equipment is back in Service This valve washed out during drilling 17 1/2 hole March 14th 2016. No spare available so had to blank it. The flange has been welded up to allow blank install.",Material,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,multiples,Electrical_failure,Material_failure
99,"Remove pulsation dampner from #3 mud pump Remove pulsation dampner from #3 mud pump and install pulsation dampner from #5 mud pump on #3 mud pump. Several causes are acting simultaneously. If one cause is predominant, this cause should be highlighted.  Rebuilt bladder on #1 pump still waiting on parts.----------, Parts Requested from ICS:----------, Developed procedure for removal and installation of pulsation dampners on 14P220 mud pumps. Removed pulsation dampner from #5 mud pump to be installed on #3 mud pump. Removed pulsation dampner from #3 mud pump and mounted on #5 mud pump. Cleaned sealing sufrace on #3 mud pump pulsation dampner mounting flange.----------, Moved Pulsating dampners from #5 to #3 Mud pump and #1 to #2 mud pump. All bolts have been torqed on all four pumps. #1 and #5 need to have bladders rebuilt.",Electrical,,,Electrical_Failure,4,Material_Failure,2,Electrical_failure,Material_failure,Material_failure,Electrical_failure,Electrical_failure,Electrical_failure
74,"OOS 2018 Dietswell Punchlist Item No14 OOS 2018 Integrated Punchlist Item 14 Repair or Replace the leaking Lube Oil Pump on No4 Mud Pump Normal expected wear and tear from operating equipment as designed  Parts Requested from ICS:----------, Parts Requested from ICS:----------, When testing the L.O. Pump the Discharge Pressure Gauge was found to be faulty so changed same and tested all O/K.----------, ** Non Issued Parts Auto Cancelled QTY REQUESTED: 2 QTY ISSUED: 0 DESC: PUMP ROTARY GEAR FOOT MOUNT NO.2 WITH R----------, Repairs carried out by Alen Lopes & Joytesh Shah. ' 1. Isolated Mud Pump & verified isolation. 2. Removed L.O Pump coupling guard and pump from skid. 3. Cleaned up all pipework and pump base. 4. Installed new pump and pipework. 5. The 12 hrs recorded under Andrew Christie are for Alen & Joytesh's time as they do not have RMS log in details. 6. Pump can not be function tested as the electrical motor failed the inspection and requires to be changed out. (Electrical Dept aware and plan to change out A.S.A.P).----------, 1. Job has been completed and tested.",Mechanical,Mechanical_Failure,1.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Mechanical_failure,multiples,Mechanical_failure,Mechanical_failure
15,During final testing of the previously install boost line drape hose on the termination joint a leak was noticed. Troubleshoot leak and it was determined that the #5 mud pump boost line header valve was leaking. Look at servicing schedule of the valves and potential ways to prevent re-occurrence. Grease and function #5 mud pump boost header valve. Change line-ups and retest.,1.1 Mechanical - Leakage,Mechanical_Failure,1.0,Mechanical_Failure,1,Material_Failure,2,Mechanical_failure,Material_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure
78,"Inspect pistons and liners on MP#2 Isolate MP#2 and inspect pistons and liners on cyl # 2 and 3, suspected leakage as we found mud in liner wash tank. Replace parts as required. Normal expected wear and tear from operating equipment as designed  Inspected pistons and replaced due to scores found. Repaired liner wash hoses.",Material,Material_Failure,2.0,Mechanical_Failure,1,Material_Failure,2,Mechanical_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
10,"Pop off valve went on mud pump #2 while drilling @ 3100psi, unable to reset same. Valve did not see a pressure spike and was tested to 3500psi, Noted that during investigation while stripping down the relief valve it was found that the internal seal shaft had (Sub) cracked and broke off the internal sub. Currently inspecting and testing 1 x spare valves, replace old valves for new if required. Installed refurbished complete body and pop off unit. Increased pulsation damper pressure for m 800psi to 1200psi",2.4 Material - Breakage,Material_Failure,2.0,Material_Failure,2,Mechanical_Failure,1,Material_failure,Mechanical_failure,Material_failure,Material_failure,Material_failure,Material_failure
46,"Wash out on Pistons in MP #1 cyl #2 and MP #3 cyl #1 and cyl #3. Hours on Pistons - 20hrs. Replaced Pistons. 2,5 hrs down time. Continued drilling. After 6 hrs observed new wash out on MP #3 cyl #1. Replaced Piston. 1 hr down time. Continued drilling. After 2 hrs observed new wash out on MP #3 cyl #1. Replaced Piston. 1 hr down time. All Piston rubbers were worn out/dissolving - Premature wear - Suspect bad batch of pistons (rubber) - To be investigated *). OEM Pistons from NOV batch 0000068568 suspected to be of poor quality. Remaining Pistons from this batch removed from stock. *) To be reviewed with shore support for follow-up. Checked aligment on extantion rod - liner on MP ## cyl #1.OK. Inspected condition on Pistons in all Mud pumps. OK. Replaced Pistons.",2.3 - Material - Wear,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
